Configuration,Accuracy
"[0, 0, 0, 0.1]",0.1135
"[0, 0, 0, 0.2]",0.1135
"[0, 0, 0, 0.30000000000000004]",0.1135
"[0, 0, 0, 0.4]",0.101
"[0, 0, 0, 0.5]",0.101
"[0, 0, 0, 0.6]",0.101
"[0, 0, 0, 0.7000000000000001]",0.101
"[0, 0, 0, 0.8]",0.101
"[0, 0, 0, 0.9]",0.101
"[0, 0, 10, 0.1]",0.1135
"[0, 0, 10, 0.2]",0.1135
"[0, 0, 10, 0.30000000000000004]",0.1135
"[0, 0, 10, 0.4]",0.101
"[0, 0, 10, 0.5]",0.101
"[0, 0, 10, 0.6]",0.101
"[0, 0, 10, 0.7000000000000001]",0.101
"[0, 0, 10, 0.8]",0.101
"[0, 0, 10, 0.9]",0.101
"[0, 10, 0, 0.1]",0.1135
"[0, 10, 0, 0.2]",0.1135
"[0, 10, 0, 0.30000000000000004]",0.1135
"[0, 10, 0, 0.4]",0.101
"[0, 10, 0, 0.5]",0.101
"[0, 10, 0, 0.6]",0.101
"[0, 10, 0, 0.7000000000000001]",0.101
"[0, 10, 0, 0.8]",0.101
"[0, 10, 0, 0.9]",0.101
"[0, 10, 10, 0.1]",0.1135
"[0, 10, 10, 0.2]",0.1135
"[0, 10, 10, 0.30000000000000004]",0.1135
"[0, 10, 10, 0.4]",0.101
"[0, 10, 10, 0.5]",0.101
"[0, 10, 10, 0.6]",0.101
"[0, 10, 10, 0.7000000000000001]",0.101
"[0, 10, 10, 0.8]",0.101
"[0, 10, 10, 0.9]",0.101
"[0, 20, 0, 0.1]",0.1135
"[0, 20, 0, 0.2]",0.1135
"[0, 20, 0, 0.30000000000000004]",0.1135
"[0, 20, 0, 0.4]",0.101
"[0, 20, 0, 0.5]",0.101
"[0, 20, 0, 0.6]",0.101
"[0, 20, 0, 0.7000000000000001]",0.101
"[0, 20, 0, 0.8]",0.101
"[0, 20, 0, 0.9]",0.101
"[0, 20, 10, 0.1]",0.1135
"[0, 20, 10, 0.2]",0.1135
"[0, 20, 10, 0.30000000000000004]",0.1135
"[0, 20, 10, 0.4]",0.101
"[0, 20, 10, 0.5]",0.101
"[0, 20, 10, 0.6]",0.101
